Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612495,01-01-2026,THIPPERUDRASWAMY P/S,532,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612496,01-01-2026,KOTTURESHWARA P/S (9964668149),1490,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612497,01-01-2026,AMARESHWARA P S VITTAL TEMPLE,1612,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612498,01-01-2026,AMRUTH P S,837,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612499,01-01-2026,JEEVAN P/S OPP GANESH COFFEE BAR,1323,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612500,01-01-2026,BHAVANI PRO STORE,1220,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612501,01-01-2026,VEERABADRESHWARA PRO STORE,997,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612502,01-01-2026,MANJUNATHA P/S 2 ND,434,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612503,01-01-2026,AMRUTH P S,288,HANUMANTHAPPA D,MANDIPETE /  KALIKADEVI  ROAD
P252612538,05-01-2026,SRI RAM BAKERY  SHEETS (shamanur),5172,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612539,05-01-2026,LAKSHMI VENKATESHWARA BAKERY,7342,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612540,05-01-2026,SIDDESHWRA  P/S,1314,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612541,05-01-2026,VENKATESHWARA PRO STORE,1525,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612542,05-01-2026,SRI ANJANEYA P S,2756,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612543,05-01-2026,S MART,1986,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612544,05-01-2026,BENGALURU IYYANGAR BAKERY,3399,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612545,05-01-2026,RAGVENDRA BEEDA STALL,1260,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612546,05-01-2026,SRI RAGHAVENDRA P/S,886,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612547,05-01-2026,AMARESHWARA PR ST,508,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612548,05-01-2026,SHAMANUR SHOPPE (G),7004,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612549,05-01-2026,SADHANA   G/S  SHAMNOOR,928,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612550,05-01-2026,KUSUMA ENTERPRISES (G),1172,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612551,05-01-2026,SRI MANIKANTA IYYANGAR BAKERY,1428,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612552,05-01-2026,SURYA  BAKARY(SHAMNUR),2621,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612553,05-01-2026,NANDI  SUPPER MARKET (G),2001,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612582,06-01-2026,SRI BANASHANKARI PR ST,766,HANUMANTHAPPA D,MCC  A  BLOCK
P252612583,06-01-2026,DYAMALAMBA P S HOME NEEDS,922,HANUMANTHAPPA D,MCC  A  BLOCK
P252612584,06-01-2026,JAGDAMBA G/S,1408,HANUMANTHAPPA D,MCC  A  BLOCK
P252612585,06-01-2026,PRAVEEN PR ST NEAR BAKKESHWARA SCHL,2025,HANUMANTHAPPA D,MCC  A  BLOCK
P252612586,06-01-2026,VIGNESHWARA PR ST,1387,HANUMANTHAPPA D,MCC  A  BLOCK
P252612587,06-01-2026,SAI CAKE PALACE,1666,HANUMANTHAPPA D,MCC  A  BLOCK
P252612588,06-01-2026,PRIME DRY FRUITS,693,HANUMANTHAPPA D,MCC  A  BLOCK
P252612589,06-01-2026,SRINIVASA PS OPP PRASHNTH PS,1143,HANUMANTHAPPA D,MCC  A  BLOCK
P252612590,06-01-2026,PRASHANTH PROVISON G/S(G),1842,HANUMANTHAPPA D,MCC  A  BLOCK
P252612591,06-01-2026,DIGANTH P/S (G),1139,HANUMANTHAPPA D,MCC  A  BLOCK
P252612592,06-01-2026,NANJUNDESHWARA   P/S,476,HANUMANTHAPPA D,MCC  A  BLOCK
P252612593,06-01-2026,JAHNAVI CONDIMENTS,899,HANUMANTHAPPA D,MCC  A  BLOCK
P252612594,06-01-2026,SRI MAHALAKSHMI DAILY NEEDS,744,HANUMANTHAPPA D,MCC  A  BLOCK
