Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612563,05-01-2026,VINAYAKA XEROX,682,KOTRESH,VIDHYA  NAGAR 
P252612564,05-01-2026,SRI RANGA PROV ST DENTAL ROAD,3798,KOTRESH,VIDHYA  NAGAR 
P252612565,05-01-2026,VISHWA BANDU STORE 2ND,589,KOTRESH,VIDHYA  NAGAR 
P252612566,05-01-2026,M  S  STORE,619,KOTRESH,VIDHYA  NAGAR 
P252612567,05-01-2026,PRAKASH PROV STORE,568,KOTRESH,VIDHYA  NAGAR 
P252612568,05-01-2026,CHAITRA PR ST,4738,KOTRESH,VIDHYA  NAGAR 
P252612569,05-01-2026,S M BAKERY,4259,KOTRESH,VIDHYA  NAGAR 
P252612570,05-01-2026,VISHWAS P S,2007,KOTRESH,VIDHYA  NAGAR 
P252612571,05-01-2026,MARULASIDDESHWARA P S,1481,KOTRESH,VIDHYA  NAGAR 
P252612572,05-01-2026,NAMANA CONDIMENTS,991,KOTRESH,VIDHYA  NAGAR 
P252612573,05-01-2026,SHIVA SHAKTI SPICES,6869,KOTRESH,VIDHYA  NAGAR 
P252612574,05-01-2026,GIRIJA PROV ST,854,KOTRESH,VIDHYA  NAGAR 
P252612595,06-01-2026,SANJAY RICE CORNER,1293,KOTRESH,KTJ  NAGAR 
P252612596,06-01-2026,RAJU GENARAL STORES,934,KOTRESH,KTJ  NAGAR 
P252612597,06-01-2026,MANJUNATHA ST KTJ,851,KOTRESH,KTJ  NAGAR 
P252612598,06-01-2026,siddaganga cake palace,1764,KOTRESH,KTJ  NAGAR 
P252612599,06-01-2026,SRINIDHI VEGITABLE,3522,KOTRESH,KTJ  NAGAR 
P252612600,06-01-2026,AJAY PRO STORE,521,KOTRESH,KTJ  NAGAR 
P252612601,06-01-2026,THIRUMALA PR ST NEAR SOUNDARYA,315,KOTRESH,KTJ  NAGAR 
P252612602,06-01-2026,H. R. PAKRUDDIN VEGETEBLE,670,KOTRESH,KTJ  NAGAR 
P252612603,06-01-2026,SRINIVASA PS NEAR RAJALAXMI,1713,KOTRESH,KTJ  NAGAR 
P252612604,06-01-2026,KARIBASAVESHWARA PR ST IIM 16 CR,1012,KOTRESH,KTJ  NAGAR 
P252612605,06-01-2026,RANGANATHA PRO STORE,583,KOTRESH,KTJ  NAGAR 
P252612606,06-01-2026,SHIVA PRO STORE,979,KOTRESH,KTJ  NAGAR 
P252612607,06-01-2026,HULIKAL VEERABHADRESHARA STORE,1667,KOTRESH,KTJ  NAGAR 
P252612608,06-01-2026,SRINIVAS  P/S,10515,KOTRESH,KTJ  NAGAR 
P252612654,07-01-2026,BASAVASHRI PRO ST,1630,KOTRESH,KSRTC  -1
P252612655,07-01-2026,E VIDYASHREE BAKERY BEHIND KSRTC,1454,KOTRESH,KSRTC  -1
P252612656,07-01-2026,MARALUSIDDESHWARA PS BEHIND KSRTC,1423,KOTRESH,KSRTC  -1
P252612657,07-01-2026,SRI  SAI  P/S,1987,KOTRESH,KSRTC  -1
P252612658,07-01-2026,RANGANATH PR ST,1458,KOTRESH,KSRTC  -1
P252612659,07-01-2026,SRI ANJENEYYA  VEGITABLES,1881,KOTRESH,KSRTC  -1
P252612660,07-01-2026,SNEHA PR ST,1001,KOTRESH,KSRTC  -1
P252612661,07-01-2026,SRI VINAYAKA P/S A B S,742,KOTRESH,KSRTC  -1
P252612662,07-01-2026,VAISHNAVI  P/S,2315,KOTRESH,KSRTC  -1
P252612663,07-01-2026,KARIBASAVESHWARA KIRANI,387,KOTRESH,KSRTC  -1
P252612664,07-01-2026,SHETTAR ANGADI,1997,KOTRESH,KSRTC  -1
P252612665,07-01-2026,BASAVARAJAPPA   P/S,647,KOTRESH,KSRTC  -1
P252612666,07-01-2026,POORNIMA  PRO STORE,813,KOTRESH,KSRTC  -1
P252612667,07-01-2026,SRI  GURU  BASAVESHWARA  P/S,1246,KOTRESH,KSRTC  -1
P252612668,07-01-2026,VINAYAKA PROVISION STORE,757,KOTRESH,KSRTC  -1
P252612669,07-01-2026,RAMANJANEYYA  PRO STORE,1532,KOTRESH,KSRTC  -1
P252612670,07-01-2026,BASAVESAHWARA PR ST,726,KOTRESH,KSRTC  -1
P252612671,07-01-2026,VASAVI STORE,910,KOTRESH,KSRTC  -1
P252612672,07-01-2026,INDIA N BAKERY,1304,KOTRESH,KSRTC  -1
P252612693,08-01-2026,SRI GAVI RANGANTHA PRO STORE,3169,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612694,08-01-2026,UTSAVAMBA PR ST,1558,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612695,08-01-2026,MANJUNATHA  P/S,581,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612696,08-01-2026,VAJRANTHREE PRO STORES,758,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612697,08-01-2026,QUALITY CAKE CORNER,1780,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612698,08-01-2026,ANIKA P/S,1569,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612699,08-01-2026,DURGAMBIKA PR ST,1027,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612700,08-01-2026,SRI SAI VENKATESHWARA GEN ST,2276,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612701,08-01-2026,SRI RANAGANTHA PRO STORE,1250,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612702,08-01-2026,HULIGEMMA PRO STORE,2633,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612703,08-01-2026,ARPITHA PRO STORES,2160,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612704,08-01-2026,SHWETHA PRO STORE,225,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612705,08-01-2026,BANASHAKARI 2,557,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612706,08-01-2026,YOGESH PRO STORE,966,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612707,08-01-2026,VIRUPAKSHA P/S NEAR KUMAR P/S,1166,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612708,08-01-2026,SRI BHAGAVAN PRO ST,1646,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612709,08-01-2026,ANNAPOORNESHWARI P/S,1532,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612710,08-01-2026,JANAKI P/S,1613,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612736,09-01-2026,A 1 Quality Foods,2339,KOTRESH,ANJENEYA  LAY OUT
P252612737,09-01-2026,VISHWABANDHU PR ST ANJANEYA EXTN,519,KOTRESH,ANJENEYA  LAY OUT
P252612738,09-01-2026,VEERU P/S,937,KOTRESH,ANJENEYA  LAY OUT
P252612739,09-01-2026,NANDINI MILK PARLOUR,1583,KOTRESH,ANJENEYA  LAY OUT
P252612740,09-01-2026,SHIVA BEEDA STALL,1031,KOTRESH,ANJENEYA  LAY OUT
P252612741,09-01-2026,Ranga super market,1170,KOTRESH,ANJENEYA  LAY OUT
P252612742,09-01-2026,VIJAY BAKERY,2267,KOTRESH,ANJENEYA  LAY OUT
P252612743,09-01-2026,MALTHESH BEEDA STALL,479,KOTRESH,ANJENEYA  LAY OUT
P252612744,09-01-2026,Student shop,982,KOTRESH,ANJENEYA  LAY OUT
P252612745,09-01-2026,FOOD MART (G),14779,KOTRESH,ANJENEYA  LAY OUT
P252612746,09-01-2026,ASIF TEA STALL,372,KOTRESH,ANJENEYA  LAY OUT
P252612790,11-01-2026,AMARESHWARA STORE,2005,KOTRESH,RAMANAGAR 
P252612791,11-01-2026,JAGADISH PRO STORE,1463,KOTRESH,RAMANAGAR 
P252612792,11-01-2026,SRI NANDHI STORE,1151,KOTRESH,RAMANAGAR 
