Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612504,01-01-2026,RENUKA ELAMMA PROVISION STORE,828,Nagaraj B,BUDAL  ROAD
P252612505,01-01-2026,ANUSHA PROVISION STORE,757,Nagaraj B,BUDAL  ROAD
P252612506,01-01-2026,BASAVARAJ P S,572,Nagaraj B,BUDAL  ROAD
P252612507,01-01-2026,RENUKA FANCY STORE,610,Nagaraj B,BUDAL  ROAD
P252612508,01-01-2026,INAYA PATHIMA,14001,Nagaraj B,BUDAL  ROAD
P252612509,01-01-2026,D L V  BAKERY,1154,Nagaraj B,BUDAL  ROAD
P252612510,01-01-2026,GOWRI GENERAL STORE,989,Nagaraj B,BUDAL  ROAD
P252612511,01-01-2026,VEERABHADRESHWARA PS BSK,964,Nagaraj B,BUDAL  ROAD
P252612512,01-01-2026,MANJUNATHA  PRO  STORE,931,Nagaraj B,BUDAL  ROAD
P252612513,01-01-2026,YATHISH P S,1253,Nagaraj B,BUDAL  ROAD
P252612514,01-01-2026,VEERABHADRESHWARA P S BVV,394,Nagaraj B,BUDAL  ROAD
P252612515,01-01-2026,UCHCHENGELLAMMA STORE,9200,Nagaraj B,BUDAL  ROAD
P252612516,01-01-2026,GOWRI P S,1165,Nagaraj B,BUDAL  ROAD
P252612517,01-01-2026,MALLIKARJUNA  P/S,1886,Nagaraj B,BUDAL  ROAD
P252612518,02-01-2026,UMESH P S,3032,Nagaraj B,BETHUR  ROAD
P252612519,02-01-2026,CHOWDESHWARI PR ST,1213,Nagaraj B,BETHUR  ROAD
P252612520,02-01-2026,GOWDRU HOTEL,332,Nagaraj B,BETHUR  ROAD
P252612521,02-01-2026,GIRIJA PRO STORE,440,Nagaraj B,BETHUR  ROAD
P252612522,02-01-2026,SRI MAILARLINGESHWARA  P/S,1489,Nagaraj B,BETHUR  ROAD
P252612523,02-01-2026,AVINASH BAKERY,1017,Nagaraj B,BETHUR  ROAD
P252612524,02-01-2026,BASAVESHWARA TRADERS,486,Nagaraj B,BETHUR  ROAD
P252612525,02-01-2026,BASAVESHWARA BEKARY STALL NO 13,779,Nagaraj B,BETHUR  ROAD
P252612526,02-01-2026,ANJANEYA P/S,570,Nagaraj B,BETHUR  ROAD
P252612527,02-01-2026,RAGHAVENDRA BAKERY STALL NO9,2901,Nagaraj B,BETHUR  ROAD
P252612528,02-01-2026,SUMA  P/S,582,Nagaraj B,BETHUR  ROAD
P252612529,02-01-2026,BALAJI BAKERY,1102,Nagaraj B,BETHUR  ROAD
P252612530,02-01-2026,BASAVESHWARA BEKARY STALL NO 13,8401,Nagaraj B,BETHUR  ROAD
P252612531,02-01-2026,BASAVESHWARA BEKARY STALL NO 13,878,Nagaraj B,BETHUR  ROAD
P252612554,05-01-2026,JAYADEV PAPER STALL (9986785452),97,Nagaraj B,K  R  ROAD
P252612555,05-01-2026,JAYADEV PAPER STALL (9986785452),326,Nagaraj B,K  R  ROAD
P252612556,05-01-2026,B M G STORE,10645,Nagaraj B,K  R  ROAD
P252612557,05-01-2026,KHAJA STORE,638,Nagaraj B,K  R  ROAD
P252612558,05-01-2026,NANDINI MILK PORLER,4092,Nagaraj B,K  R  ROAD
P252612559,05-01-2026,K2B BAKERY,5512,Nagaraj B,K  R  ROAD
P252612560,05-01-2026,B S LATHEEF P S,750,Nagaraj B,K  R  ROAD
P252612561,05-01-2026,RAZA STORES,10080,Nagaraj B,K  R  ROAD
P252612562,05-01-2026,MUNNA STORE,239,Nagaraj B,K  R  ROAD
P252612609,06-01-2026,G S CHANNABASAPPA PR ST,874,Nagaraj B,HONDAD  ROAD
P252612610,06-01-2026,PRAKASH PR ST M B KERI,1509,Nagaraj B,HONDAD  ROAD
P252612611,06-01-2026,SARVASHAKTI P S (9845863475),1754,Nagaraj B,HONDAD  ROAD
P252612612,06-01-2026,SAGAR  BEKARY H D CIR,1419,Nagaraj B,HONDAD  ROAD
P252612613,06-01-2026,THIPPESWAMY PR ST(G),3191,Nagaraj B,HONDAD  ROAD
P252612614,06-01-2026,MANJUNATHA  PRO STO,2051,Nagaraj B,HONDAD  ROAD
P252612615,06-01-2026,SRI GURU P/S NEAR MANJUNATHA P/S,483,Nagaraj B,HONDAD  ROAD
P252612616,06-01-2026,SACHIN PRO STORES,559,Nagaraj B,HONDAD  ROAD
P252612617,06-01-2026,VISHNU P/S NEAR SACHIN P/S,1689,Nagaraj B,HONDAD  ROAD
P252612618,06-01-2026,RAMYA PRO STORE,1457,Nagaraj B,HONDAD  ROAD
P252612619,06-01-2026,POOJITHA  GENRAL  STORE,3455,Nagaraj B,HONDAD  ROAD
P252612636,07-01-2026,CHANDRAKANTH STORE,1196,Nagaraj B,BUDAL  ROAD
P252612637,07-01-2026,SRI VEERABHADRESHWARA P/S,1163,Nagaraj B,BUDAL  ROAD
P252612638,07-01-2026,YELU KOTI P/S (9743905232),1930,Nagaraj B,BUDAL  ROAD
P252612639,07-01-2026,KIRAN P S,345,Nagaraj B,BUDAL  ROAD
P252612640,07-01-2026,VEERABHADRESHWARA PS BSK,583,Nagaraj B,BUDAL  ROAD
P252612641,07-01-2026,RENUKA ELAMMA PROVISION STORE,814,Nagaraj B,BUDAL  ROAD
P252612642,07-01-2026,ANUSHA PROVISION STORE,583,Nagaraj B,BUDAL  ROAD
P252612643,07-01-2026,SRI GURUKOTTRESHWARA P/S,2135,Nagaraj B,BUDAL  ROAD
P252612644,07-01-2026,RENUKA FANCY STORE,429,Nagaraj B,BUDAL  ROAD
P252612645,07-01-2026,D L V  BAKERY,514,Nagaraj B,BUDAL  ROAD
P252612646,07-01-2026,BASAVARAJ P S,822,Nagaraj B,BUDAL  ROAD
