Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612944,14-01-2026,GURU RAGAVENDRA GERAGE,29127,HANUMANTHAPPA D,MCC  A  BLOCK
P252612945,14-01-2026,LAKSHMI VENKATESWAR  MARKETING,18005,HANUMANTHAPPA D,MCC  A  BLOCK
P252612946,14-01-2026,GONI BASAVESHWARA P/S,1018,HANUMANTHAPPA D,MCC  A  BLOCK
P252612947,14-01-2026,NANDINI MILK PARLUR,989,HANUMANTHAPPA D,MCC  A  BLOCK
P252612948,14-01-2026,VASAVAMBA STORE,449,HANUMANTHAPPA D,MCC  A  BLOCK
P252612949,14-01-2026,BALAJI. BEK,1137,HANUMANTHAPPA D,MCC  A  BLOCK
P252612950,14-01-2026,VEERABHADRESWARA.STORE,306,HANUMANTHAPPA D,MCC  A  BLOCK
P252612951,14-01-2026,KURUVATTI BASAVESHWARA P/S H V SADANAND,408,HANUMANTHAPPA D,MCC  A  BLOCK
P252612952,14-01-2026,SRI LAKSHMI VENKATESHWARA G/S,3345,HANUMANTHAPPA D,MCC  A  BLOCK
P252612953,14-01-2026,SOGI CAKE PYALES III RD MAIN,1276,HANUMANTHAPPA D,MCC  A  BLOCK
